image_path,x,y,radius,coin_type
data/training/images/092.jpg,313,580,78,5cent
data/training/images/092.jpg,523,577,86,1euro
data/training/images/093.jpg,419,577,78,10cent
data/training/images/094.jpg,344,454,61,1cent
data/training/images/094.jpg,481,538,72,2cent
data/training/images/094.jpg,290,629,85,5cent
data/training/images/095.jpg,390,520,68,50cent
data/training/images/095.jpg,329,594,72,2euro
data/training/images/095.jpg,413,669,71,50cent
data/training/images/096.jpg,195,411,50,1cent
data/training/images/096.jpg,308,412,58,2cent
data/training/images/096.jpg,432,408,65,5cent
data/training/images/096.jpg,556,417,61,10cent
data/training/images/096.jpg,184,572,69,20cent
data/training/images/096.jpg,327,577,74,50cent
data/training/images/096.jpg,471,572,71,1euro
data/training/images/096.jpg,621,569,80,2euro
data/training/images/097.jpg,156,580,81,20cent
data/training/images/097.jpg,303,507,83,1euro
data/training/images/097.jpg,419,385,83,20cent
data/training/images/097.jpg,419,641,94,2euro
data/training/images/098.jpg,345,480,76,5cent
data/training/images/098.jpg,248,573,58,1cent
data/training/images/098.jpg,465,573,70,10cent
data/training/images/098.jpg,356,737,93,2euro
data/training/images/099.jpg,397,330,70,2cent
data/training/images/100.jpg,420,555,59,1cent
data/training/images/101.jpg,486,475,82,1euro
data/training/images/101.jpg,159,460,75,20cent
data/training/images/101.jpg,346,724,82,5cent
data/training/images/102.jpg,410,471,69,20cent
data/training/images/102.jpg,284,555,61,2cent
data/training/images/102.jpg,462,606,70,5cent
data/training/images/103.jpg,189,585,74,10cent
data/training/images/103.jpg,392,663,81,20cent
data/training/images/103.jpg,534,447,77,5cent
data/training/images/104.jpg,367,501,90,2euro
data/training/images/105.jpg,388,590,73,2cent
data/training/images/106.jpg,302,375,101,1euro
data/training/images/106.jpg,460,514,92,5cent
data/training/images/106.jpg,255,613,112,2euro
data/training/images/107.jpg,418,541,73,2cent
data/training/images/108.jpg,360,471,72,50cent
data/training/images/109.jpg,339,325,94,20cent
data/training/images/109.jpg,486,538,81,2cent
data/training/images/110.jpg,235,541,69,1cent
data/training/images/110.jpg,444,552,79,2cent
data/training/images/111.jpg,493,393,82,2cent
data/training/images/111.jpg,411,748,82,1cent
data/training/images/111.jpg,216,464,93,5cent
data/training/images/112.jpg,205,491,85,5cent
data/training/images/112.jpg,491,453,73,10cent
data/training/images/112.jpg,386,735,70,1cent
data/training/images/113.jpg,336,502,85,2euro
data/training/images/114.jpg,417,507,66,10cent
data/training/images/115.jpg,545,330,60,1euro
data/training/images/115.jpg,183,580,63,50cent
data/training/images/115.jpg,310,594,57,20cent
data/training/images/115.jpg,237,710,70,2euro
data/training/images/116.jpg,342,525,86,1euro
data/training/images/117.jpg,373,646,80,2cent
data/training/images/118.jpg,246,626,58,1cent
data/training/images/118.jpg,251,496,64,2cent
data/training/images/118.jpg,251,363,68,5cent
data/training/images/118.jpg,269,236,63,10cent
data/training/images/118.jpg,433,643,81,20cent
data/training/images/118.jpg,440,478,84,50cent
data/training/images/118.jpg,432,319,76,1euro
data/training/images/118.jpg,432,168,79,2euro
data/training/images/119.jpg,402,555,52,1cent
data/training/images/120.jpg,241,438,89,5cent
data/training/images/120.jpg,483,559,102,1euro
data/training/images/121.jpg,455,292,66,1cent
data/training/images/121.jpg,564,492,80,2cent
data/training/images/121.jpg,271,469,99,1euro
data/training/images/121.jpg,370,691,97,5cent
data/training/images/122.jpg,339,346,66,1cent
data/training/images/122.jpg,192,567,89,2cent
data/training/images/122.jpg,430,523,95,5cent
data/training/images/123.jpg,382,570,54,1cent
data/training/images/124.jpg,412,375,71,10cent
data/training/images/124.jpg,267,674,70,1cent
data/training/images/124.jpg,455,678,83,2cent
data/training/images/125.jpg,245,398,81,1euro
data/training/images/125.jpg,378,585,77,20cent
data/training/images/126.jpg,283,669,64,1cent
data/training/images/126.jpg,268,459,72,2cent
data/training/images/126.jpg,463,546,77,10cent
data/training/images/127.jpg,417,408,62,1cent
data/training/images/127.jpg,301,595,81,2cent
data/training/images/128.jpg,457,403,81,1euro
data/training/images/128.jpg,468,624,82,5cent
data/training/images/128.jpg,265,542,82,20cent
data/training/images/129.jpg,442,522,68,2cent
data/training/images/130.jpg,291,516,73,1euro
data/training/images/130.jpg,438,490,70,20cent
data/training/images/131.jpg,383,545,73,10cent
data/training/images/132.jpg,276,423,112,50cent
data/training/images/132.jpg,457,413,97,20cent
data/training/images/132.jpg,522,572,103,20cent
data/training/images/132.jpg,381,667,102,20cent
data/training/images/133.jpg,247,450,60,1cent
data/training/images/133.jpg,502,415,72,2cent
data/training/images/133.jpg,473,625,88,1euro
data/training/images/134.jpg,264,436,97,2euro
data/training/images/134.jpg,378,657,86,1euro
data/training/images/135.jpg,396,591,91,10cent
data/training/images/136.jpg,372,496,84,2euro
data/training/images/136.jpg,353,686,81,10cent
data/training/images/137.jpg,439,475,79,10cent
data/training/images/137.jpg,222,498,76,2cent
data/training/images/137.jpg,322,652,71,1cent
data/training/images/138.jpg,356,411,110,20cent
data/training/images/138.jpg,450,612,110,20cent
data/training/images/138.jpg,232,637,109,20cent
data/training/images/139.jpg,506,571,74,2cent
data/training/images/139.jpg,370,412,79,5cent
data/training/images/140.jpg,225,570,80,2cent
data/training/images/140.jpg,439,536,82,10cent
data/training/images/141.jpg,361,452,74,1euro
data/training/images/142.jpg,367,482,69,20cent
data/training/images/143.jpg,345,549,69,2cent
data/training/images/143.jpg,544,485,89,1euro
data/training/images/144.jpg,387,466,78,50cent
data/training/images/145.jpg,375,522,72,5cent
data/training/images/146.jpg,127,682,63,1cent
data/training/images/146.jpg,198,466,71,2cent
data/training/images/146.jpg,357,679,83,5cent
data/training/images/146.jpg,424,393,78,5cent
data/training/images/146.jpg,628,364,62,1cent
data/training/images/146.jpg,532,531,70,2cent
data/training/images/147.jpg,363,496,78,50cent
data/training/images/148.jpg,390,517,58,1cent
data/training/images/149.jpg,375,544,66,10cent
data/training/images/150.jpg,397,585,100,1euro
