image_path,x,y,radius,coin_type
archive\images\039.jpg,304,459,72,1cent
archive\images\039.jpg,434,619,92,10cent
archive\images\040.jpg,293,353,87,20cent
archive\images\040.jpg,105,502,91,1euro
archive\images\040.jpg,524,598,86,5cent
archive\images\040.jpg,239,700,79,10cent
archive\images\040.jpg,396,819,101,2euro
archive\images\041.jpg,345,642,107,50cent
archive\images\042.jpg,390,583,90,2euro
archive\images\043.jpg,261,606,117,20cent
archive\images\043.jpg,408,409,100,10cent
archive\images\044.jpg,294,594,95,1euro
archive\images\044.jpg,385,741,105,2euro
archive\images\045.jpg,264,357,74,5cent
archive\images\045.jpg,268,577,73,10cent
archive\images\045.jpg,514,598,87,1euro
archive\images\046.jpg,496,373,110,1euro
archive\images\046.jpg,459,597,104,20cent
archive\images\046.jpg,267,461,111,50cent
archive\images\047.jpg,254,435,96,50cent
archive\images\047.jpg,275,675,94,1euro
archive\images\047.jpg,489,592,84,5cent
archive\images\048.jpg,392,558,83,5cent
archive\images\049.jpg,262,513,87,1euro
archive\images\049.jpg,410,606,83,20cent
archive\images\049.jpg,283,721,89,50cent
archive\images\050.jpg,195,263,66,2cent
archive\images\050.jpg,488,788,60,1cent
archive\images\051.jpg,210,439,85,20cent
archive\images\051.jpg,447,465,85,20cent
archive\images\051.jpg,320,576,84,20cent
archive\images\051.jpg,206,703,85,20cent
archive\images\052.jpg,156,431,88,20cent
archive\images\052.jpg,345,398,96,50cent
archive\images\052.jpg,508,497,86,5cent
archive\images\052.jpg,167,622,97,50cent
archive\images\052.jpg,354,594,89,20cent
archive\images\052.jpg,289,753,81,10cent
archive\images\053.jpg,348,498,78,50cent
archive\images\054.jpg,231,478,82,5cent
archive\images\054.jpg,552,475,95,1euro
archive\images\055.jpg,283,509,112,1euro
archive\images\055.jpg,441,592,128,2euro
archive\images\056.jpg,371,553,80,20cent
archive\images\057.jpg,251,462,85,10cent
archive\images\057.jpg,441,445,101,50cent
archive\images\057.jpg,399,685,115,2euro
archive\images\058.jpg,453,569,66,1euro
archive\images\058.jpg,270,557,72,2euro
archive\images\058.jpg,354,435,68,50cent
archive\images\059.jpg,502,349,66,20cent
archive\images\059.jpg,408,741,72,5cent
archive\images\060.jpg,365,606,67,1cent
archive\images\061.jpg,335,384,96,2euro
archive\images\062.jpg,186,795,79,1euro
archive\images\062.jpg,526,198,61,2cent
archive\images\063.jpg,497,563,85,2cent
archive\images\063.jpg,202,660,92,2cent
archive\images\063.jpg,275,505,72,1cent
archive\images\064.jpg,363,583,74,1cent
archive\images\065.jpg,257,479,68,2cent
archive\images\066.jpg,256,648,95,2cent
archive\images\066.jpg,529,696,84,1cent
archive\images\066.jpg,463,385,103,5cent
archive\images\067.jpg,326,471,65,1cent
archive\images\067.jpg,538,570,98,1euro
archive\images\068.jpg,365,518,92,1euro
archive\images\069.jpg,392,452,74,5cent
archive\images\070.jpg,384,634,77,2cent
archive\images\071.jpg,408,527,78,1euro
archive\images\072.jpg,255,556,75,2euro
archive\images\072.jpg,390,584,62,5cent
archive\images\072.jpg,500,584,49,1cent
archive\images\073.jpg,264,431,91,1euro
archive\images\073.jpg,356,634,88,5cent
archive\images\073.jpg,531,456,72,2cent
archive\images\074.jpg,292,675,77,5cent
archive\images\074.jpg,462,571,71,2cent
archive\images\075.jpg,254,503,96,1euro
archive\images\075.jpg,423,631,108,2euro
archive\images\076.jpg,436,652,101,20cent
archive\images\076.jpg,437,441,107,50cent
archive\images\076.jpg,219,459,100,20cent
archive\images\076.jpg,225,673,108,50cent
archive\images\077.jpg,436,606,78,5cent
archive\images\077.jpg,399,438,78,5cent
archive\images\077.jpg,240,591,85,1euro
archive\images\078.jpg,454,733,92,2euro
archive\images\078.jpg,379,501,80,1euro
archive\images\078.jpg,249,642,77,20cent
archive\images\079.jpg,297,392,72,50cent
archive\images\079.jpg,435,456,67,1euro
archive\images\079.jpg,555,510,57,10cent
archive\images\079.jpg,481,663,68,20cent
archive\images\079.jpg,228,636,80,2euro
archive\images\080.jpg,339,566,81,2cent
archive\images\080.jpg,326,720,94,10cent
archive\images\081.jpg,396,496,80,50cent
archive\images\082.jpg,390,557,61,5cent
archive\images\083.jpg,385,561,83,20cent
archive\images\084.jpg,197,367,76,2cent
archive\images\084.jpg,448,333,86,5cent
archive\images\084.jpg,554,553,79,2cent
archive\images\084.jpg,324,627,89,5cent
archive\images\085.jpg,339,258,62,20cent
archive\images\085.jpg,556,405,73,5cent
archive\images\085.jpg,462,609,115,2euro
archive\images\085.jpg,283,495,75,10cent
archive\images\085.jpg,167,345,74,1euro
archive\images\086.jpg,308,643,75,1cent
archive\images\086.jpg,283,509,84,2cent
archive\images\086.jpg,440,472,102,1euro
archive\images\087.jpg,399,661,88,5cent
archive\images\088.jpg,297,238,72,5cent
archive\images\088.jpg,391,694,73,5cent
archive\images\088.jpg,571,499,65,2cent
archive\images\088.jpg,125,709,55,1cent
archive\images\088.jpg,256,471,55,1cent
archive\images\088.jpg,556,240,65,10cent
archive\images\089.jpg,389,403,88,1euro
archive\images\089.jpg,444,620,80,2cent
archive\images\090.jpg,219,526,74,1cent
archive\images\090.jpg,372,496,83,2cent
archive\images\091.jpg,401,665,80,1cent
archive\images\092.jpg,319,369,61,1cent
archive\images\092.jpg,313,580,78,5cent
archive\images\092.jpg,523,577,87,1euro
archive\images\093.jpg,419,577,78,10cent
archive\images\094.jpg,344,454,61,1cent
archive\images\094.jpg,481,538,72,2cent
archive\images\094.jpg,290,629,85,5cent
archive\images\095.jpg,390,520,68,50cent
archive\images\095.jpg,329,594,72,2euro
archive\images\095.jpg,413,669,71,50cent
archive\images\096.jpg,195,411,50,1cent
archive\images\096.jpg,308,412,58,2cent
archive\images\096.jpg,432,408,65,5cent
archive\images\096.jpg,556,417,61,10cent
archive\images\096.jpg,184,572,69,20cent
archive\images\096.jpg,327,577,74,50cent
archive\images\096.jpg,471,572,71,1euro
archive\images\096.jpg,621,569,80,2euro
archive\images\097.jpg,156,580,81,20cent
archive\images\097.jpg,303,507,84,1euro
archive\images\097.jpg,419,385,83,20cent
archive\images\097.jpg,419,641,94,2euro
archive\images\098.jpg,345,480,76,5cent
archive\images\098.jpg,248,573,58,1cent
archive\images\098.jpg,465,573,70,10cent
archive\images\098.jpg,356,737,93,2euro
archive\images\099.jpg,397,330,70,2cent
archive\images\100.jpg,420,555,59,1cent
archive\images\101.jpg,486,475,82,1euro
archive\images\101.jpg,159,460,75,20cent
archive\images\101.jpg,346,724,82,5cent
archive\images\102.jpg,410,471,70,20cent
archive\images\102.jpg,284,555,61,2cent
archive\images\102.jpg,462,606,70,5cent
archive\images\103.jpg,189,585,74,10cent
archive\images\103.jpg,392,663,81,20cent
archive\images\103.jpg,534,447,77,5cent
archive\images\104.jpg,367,501,90,2euro
archive\images\105.jpg,388,590,73,2cent
archive\images\106.jpg,302,375,101,1euro
archive\images\106.jpg,460,514,92,5cent
archive\images\106.jpg,255,613,112,2euro
archive\images\107.jpg,418,541,73,2cent
archive\images\108.jpg,360,471,72,50cent
archive\images\109.jpg,339,325,94,20cent
archive\images\109.jpg,486,538,81,2cent
archive\images\110.jpg,235,541,69,1cent
archive\images\110.jpg,444,552,79,2cent
archive\images\111.jpg,493,393,82,2cent
archive\images\111.jpg,411,748,82,1cent
archive\images\111.jpg,216,464,93,5cent
archive\images\112.jpg,205,491,85,5cent
archive\images\112.jpg,491,453,73,10cent
archive\images\112.jpg,386,735,70,1cent
archive\images\113.jpg,336,502,85,2euro
archive\images\114.jpg,417,507,66,10cent
archive\images\115.jpg,545,330,60,1euro
archive\images\115.jpg,183,580,63,50cent
archive\images\115.jpg,310,594,57,20cent
archive\images\115.jpg,237,710,70,2euro
archive\images\116.jpg,342,525,86,1euro
archive\images\117.jpg,373,646,80,2cent
archive\images\118.jpg,246,626,58,1cent
archive\images\118.jpg,251,496,64,2cent
archive\images\118.jpg,251,363,68,5cent
archive\images\118.jpg,269,236,63,10cent
archive\images\118.jpg,433,643,81,20cent
archive\images\118.jpg,440,478,84,50cent
archive\images\118.jpg,432,319,76,1euro
archive\images\118.jpg,432,168,79,2euro
archive\images\119.jpg,402,555,52,1cent
archive\images\120.jpg,241,438,89,5cent
archive\images\120.jpg,483,559,102,1euro
archive\images\121.jpg,455,292,66,1cent
archive\images\121.jpg,564,492,80,2cent
archive\images\121.jpg,271,469,99,1euro
archive\images\121.jpg,370,691,97,5cent
archive\images\122.jpg,339,346,66,1cent
archive\images\122.jpg,192,567,89,2cent
archive\images\122.jpg,430,523,95,5cent
archive\images\123.jpg,382,570,54,1cent
archive\images\124.jpg,412,375,71,10cent
archive\images\124.jpg,267,674,70,1cent
archive\images\124.jpg,455,678,83,2cent
archive\images\125.jpg,245,398,81,1euro
archive\images\125.jpg,378,585,77,20cent
archive\images\126.jpg,283,669,64,1cent
archive\images\126.jpg,268,459,72,2cent
archive\images\126.jpg,463,546,78,10cent
archive\images\127.jpg,417,408,62,1cent
archive\images\127.jpg,301,595,81,2cent
archive\images\128.jpg,457,403,82,1euro
archive\images\128.jpg,468,624,82,5cent
archive\images\128.jpg,265,542,82,20cent
archive\images\129.jpg,442,522,68,2cent
archive\images\130.jpg,291,516,73,1euro
archive\images\130.jpg,438,490,70,20cent
archive\images\131.jpg,383,545,73,10cent
archive\images\132.jpg,276,423,112,50cent
archive\images\132.jpg,457,413,97,20cent
archive\images\132.jpg,522,572,103,20cent
archive\images\132.jpg,381,667,102,20cent
archive\images\133.jpg,247,450,61,1cent
archive\images\133.jpg,502,415,72,2cent
archive\images\133.jpg,473,625,88,1euro
archive\images\134.jpg,264,436,97,2euro
archive\images\134.jpg,378,657,86,1euro
archive\images\135.jpg,396,591,91,10cent
archive\images\136.jpg,372,496,84,2euro
archive\images\136.jpg,353,686,81,10cent
archive\images\137.jpg,439,475,79,10cent
archive\images\137.jpg,222,498,76,2cent
archive\images\137.jpg,322,652,71,1cent
archive\images\138.jpg,356,411,110,20cent
archive\images\138.jpg,450,612,110,20cent
archive\images\138.jpg,232,637,109,20cent
archive\images\139.jpg,506,571,74,2cent
archive\images\139.jpg,370,412,79,5cent
archive\images\140.jpg,225,570,80,2cent
archive\images\140.jpg,439,536,83,10cent
archive\images\141.jpg,361,452,74,1euro
archive\images\142.jpg,367,482,69,20cent
archive\images\143.jpg,345,549,69,2cent
archive\images\143.jpg,544,485,89,1euro
archive\images\144.jpg,387,466,78,50cent
archive\images\145.jpg,375,522,72,5cent
archive\images\146.jpg,127,682,63,1cent
archive\images\146.jpg,198,466,71,2cent
archive\images\146.jpg,357,679,83,5cent
archive\images\146.jpg,424,393,78,5cent
archive\images\146.jpg,628,364,62,1cent
archive\images\146.jpg,532,531,71,2cent
archive\images\147.jpg,363,496,78,50cent
archive\images\148.jpg,390,517,58,1cent
archive\images\149.jpg,375,544,66,10cent
archive\images\150.jpg,397,585,100,1euro
archive\images\001.jpg,413,642,65,1cent
archive\images\001.jpg,427,476,85,5cent
archive\images\001.jpg,269,505,75,2cent
archive\images\002.jpg,354,403,71,10cent
archive\images\003.jpg,327,392,68,2cent
archive\images\004.jpg,404,575,76,1cent
archive\images\005.jpg,357,508,67,10cent
archive\images\006.jpg,381,469,70,20cent
archive\images\007.jpg,289,474,72,5cent
archive\images\007.jpg,444,482,81,50cent
archive\images\007.jpg,293,628,81,50cent
archive\images\008.jpg,380,563,85,2cent
archive\images\009.jpg,373,601,88,2cent
archive\images\010.jpg,370,582,79,10cent
archive\images\011.jpg,259,441,81,50cent
archive\images\011.jpg,413,522,78,1euro
archive\images\012.jpg,227,480,88,50cent
archive\images\012.jpg,458,607,76,5cent
archive\images\013.jpg,367,583,90,1euro
archive\images\014.jpg,374,516,86,20cent
archive\images\015.jpg,365,490,66,5cent
archive\images\016.jpg,255,502,74,1cent
archive\images\016.jpg,454,526,84,2cent
archive\images\017.jpg,158,459,75,20cent
archive\images\017.jpg,488,474,82,1euro
archive\images\017.jpg,346,724,81,5cent
archive\images\018.jpg,525,413,96,1euro
archive\images\018.jpg,276,514,83,5cent
archive\images\018.jpg,430,675,79,2cent
archive\images\019.jpg,376,577,84,2euro
archive\images\020.jpg,431,443,66,1cent
archive\images\020.jpg,265,587,83,2cent
archive\images\020.jpg,515,633,100,5cent
archive\images\021.jpg,415,574,90,2cent
archive\images\022.jpg,387,546,78,2euro
archive\images\023.jpg,314,655,87,20cent
archive\images\023.jpg,415,391,79,5cent
archive\images\024.jpg,313,612,109,20cent
archive\images\024.jpg,532,646,103,5cent
archive\images\024.jpg,486,482,96,10cent
archive\images\025.jpg,350,514,59,20cent
archive\images\025.jpg,324,648,70,2euro
archive\images\025.jpg,427,572,57,5cent
archive\images\026.jpg,509,598,87,2cent
archive\images\026.jpg,392,407,73,1cent
archive\images\027.jpg,374,378,62,5cent
archive\images\027.jpg,513,474,90,2euro
archive\images\027.jpg,322,539,80,20cent
archive\images\027.jpg,218,691,102,1euro
archive\images\027.jpg,482,630,81,10cent
archive\images\028.jpg,301,570,74,2cent
archive\images\028.jpg,429,526,91,1euro
archive\images\029.jpg,444,614,82,1euro
archive\images\030.jpg,498,485,55,1cent
archive\images\030.jpg,358,495,70,5cent
archive\images\030.jpg,455,602,71,5cent
archive\images\031.jpg,333,601,89,50cent
archive\images\031.jpg,378,478,88,1euro
archive\images\032.jpg,413,409,113,1euro
archive\images\032.jpg,257,605,106,20cent
archive\images\032.jpg,462,632,92,10cent
archive\images\033.jpg,389,496,73,2cent
archive\images\034.jpg,408,494,72,20cent
archive\images\035.jpg,391,473,81,20cent
archive\images\036.jpg,195,540,102,2euro
archive\images\036.jpg,495,519,89,1euro
archive\images\037.jpg,232,472,103,1euro
archive\images\037.jpg,344,718,94,5cent
archive\images\037.jpg,489,535,87,10cent
archive\images\038.jpg,140,437,51,20cent
archive\images\038.jpg,213,585,55,1euro
archive\images\038.jpg,376,665,54,20cent
archive\images\038.jpg,301,387,48,5cent
archive\images\038.jpg,400,487,36,1cent
archive\images\038.jpg,556,553,51,20cent
archive\images\038.jpg,544,409,48,5cent
archive\images\039.jpg,304,459,72,1cent
archive\images\039.jpg,434,619,92,10cent
archive\images\040.jpg,293,353,87,20cent
archive\images\040.jpg,105,502,91,1euro
archive\images\040.jpg,524,598,86,5cent
archive\images\040.jpg,239,700,79,10cent
archive\images\040.jpg,396,819,101,2euro
archive\images\041.jpg,345,642,107,50cent
archive\images\042.jpg,390,583,90,2euro
archive\images\043.jpg,261,606,117,20cent
archive\images\043.jpg,408,409,100,10cent
archive\images\044.jpg,294,594,95,1euro
archive\images\044.jpg,385,741,105,2euro
archive\images\045.jpg,264,357,74,5cent
archive\images\045.jpg,268,577,73,10cent
archive\images\045.jpg,514,598,87,1euro
archive\images\046.jpg,496,373,110,1euro
archive\images\046.jpg,459,597,104,20cent
archive\images\046.jpg,267,461,111,50cent
archive\images\047.jpg,254,435,96,50cent
archive\images\047.jpg,275,675,94,1euro
archive\images\047.jpg,489,592,84,5cent
archive\images\048.jpg,392,558,83,5cent
archive\images\049.jpg,262,513,87,1euro
archive\images\049.jpg,410,606,83,20cent
archive\images\049.jpg,283,721,89,50cent
archive\images\050.jpg,195,263,66,2cent
archive\images\050.jpg,488,788,60,1cent
archive\images\051.jpg,210,439,85,20cent
archive\images\051.jpg,447,465,85,20cent
archive\images\051.jpg,320,576,84,20cent
archive\images\051.jpg,206,703,85,20cent
archive\images\052.jpg,156,431,88,20cent
archive\images\052.jpg,345,398,96,50cent
archive\images\052.jpg,508,497,86,5cent
archive\images\052.jpg,167,622,97,50cent
archive\images\052.jpg,354,594,89,20cent
archive\images\052.jpg,289,753,81,10cent
archive\images\053.jpg,348,498,78,50cent
archive\images\054.jpg,231,478,82,5cent
archive\images\054.jpg,552,475,95,1euro
archive\images\055.jpg,283,509,112,1euro
archive\images\055.jpg,441,592,128,2euro
archive\images\056.jpg,371,553,80,20cent
archive\images\057.jpg,251,462,85,10cent
archive\images\057.jpg,441,445,101,50cent
archive\images\057.jpg,399,685,115,2euro
archive\images\058.jpg,453,569,66,1euro
archive\images\058.jpg,270,557,72,2euro
archive\images\058.jpg,354,435,68,50cent
archive\images\059.jpg,502,349,66,20cent
archive\images\059.jpg,408,741,72,5cent
archive\images\060.jpg,365,606,67,1cent
archive\images\061.jpg,335,384,96,2euro
archive\images\062.jpg,186,795,79,1euro
archive\images\062.jpg,526,198,61,2cent
archive\images\063.jpg,497,563,85,2cent
archive\images\063.jpg,202,660,92,2cent
archive\images\063.jpg,275,505,72,1cent
archive\images\064.jpg,363,583,74,1cent
archive\images\065.jpg,257,479,68,2cent
archive\images\066.jpg,256,648,95,2cent
archive\images\066.jpg,529,696,84,1cent
archive\images\066.jpg,463,385,103,5cent
archive\images\067.jpg,326,471,65,1cent
archive\images\067.jpg,538,570,98,1euro
archive\images\068.jpg,365,518,92,1euro
archive\images\069.jpg,392,452,74,5cent
archive\images\070.jpg,384,634,77,2cent
archive\images\071.jpg,408,527,78,1euro
archive\images\072.jpg,255,556,75,2euro
archive\images\072.jpg,390,584,62,5cent
archive\images\072.jpg,500,584,49,1cent
archive\images\073.jpg,264,431,91,1euro
archive\images\073.jpg,356,634,88,5cent
archive\images\073.jpg,531,456,72,2cent
archive\images\074.jpg,292,675,77,5cent
archive\images\074.jpg,462,571,71,2cent
archive\images\075.jpg,254,503,96,1euro
archive\images\075.jpg,423,631,108,2euro
archive\images\076.jpg,436,652,101,20cent
archive\images\076.jpg,437,441,107,50cent
archive\images\076.jpg,219,459,100,20cent
archive\images\076.jpg,225,673,108,50cent
archive\images\077.jpg,436,606,78,5cent
archive\images\077.jpg,399,438,78,5cent
archive\images\077.jpg,240,591,85,1euro
archive\images\078.jpg,454,733,92,2euro
archive\images\078.jpg,379,501,80,1euro
archive\images\078.jpg,249,642,77,20cent
archive\images\079.jpg,297,392,72,50cent
archive\images\079.jpg,435,456,67,1euro
archive\images\079.jpg,555,510,57,10cent
archive\images\079.jpg,481,663,68,20cent
archive\images\079.jpg,228,636,80,2euro
archive\images\080.jpg,339,566,81,2cent
archive\images\080.jpg,326,720,94,10cent
archive\images\081.jpg,396,496,80,50cent
archive\images\082.jpg,390,557,61,5cent
archive\images\083.jpg,385,561,83,20cent
archive\images\084.jpg,197,367,76,2cent
archive\images\084.jpg,448,333,86,5cent
archive\images\084.jpg,554,553,79,2cent
archive\images\084.jpg,324,627,89,5cent
archive\images\085.jpg,339,258,62,20cent
archive\images\085.jpg,556,405,73,5cent
archive\images\085.jpg,462,609,115,2euro
archive\images\085.jpg,283,495,75,10cent
archive\images\085.jpg,167,345,74,1euro
archive\images\086.jpg,308,643,75,1cent
archive\images\086.jpg,283,509,84,2cent
archive\images\086.jpg,440,472,102,1euro
archive\images\087.jpg,399,661,88,5cent
archive\images\088.jpg,297,238,72,5cent
archive\images\088.jpg,391,694,73,5cent
archive\images\088.jpg,571,499,65,2cent
archive\images\088.jpg,125,709,55,1cent
archive\images\088.jpg,256,471,55,1cent
archive\images\088.jpg,556,240,65,10cent
archive\images\089.jpg,389,403,88,1euro
archive\images\089.jpg,444,620,80,2cent
archive\images\090.jpg,219,526,74,1cent
archive\images\090.jpg,372,496,83,2cent
archive\images\091.jpg,401,665,80,1cent
archive\images\092.jpg,319,369,61,1cent
archive\images\092.jpg,313,580,78,5cent
archive\images\092.jpg,523,577,87,1euro
archive\images\093.jpg,419,577,78,10cent
archive\images\094.jpg,344,454,61,1cent
archive\images\094.jpg,481,538,72,2cent
archive\images\094.jpg,290,629,85,5cent
archive\images\095.jpg,390,520,68,50cent
archive\images\095.jpg,329,594,72,2euro
archive\images\095.jpg,413,669,71,50cent
archive\images\096.jpg,195,411,50,1cent
archive\images\096.jpg,308,412,58,2cent
archive\images\096.jpg,432,408,65,5cent
archive\images\096.jpg,556,417,61,10cent
archive\images\096.jpg,184,572,69,20cent
archive\images\096.jpg,327,577,74,50cent
archive\images\096.jpg,471,572,71,1euro
archive\images\096.jpg,621,569,80,2euro
archive\images\097.jpg,156,580,81,20cent
archive\images\097.jpg,303,507,84,1euro
archive\images\097.jpg,419,385,83,20cent
archive\images\097.jpg,419,641,94,2euro
archive\images\098.jpg,345,480,76,5cent
archive\images\098.jpg,248,573,58,1cent
archive\images\098.jpg,465,573,70,10cent
archive\images\098.jpg,356,737,93,2euro
archive\images\099.jpg,397,330,70,2cent
archive\images\100.jpg,420,555,59,1cent
archive\images\101.jpg,486,475,82,1euro
archive\images\101.jpg,159,460,75,20cent
archive\images\101.jpg,346,724,82,5cent
archive\images\102.jpg,410,471,70,20cent
archive\images\102.jpg,284,555,61,2cent
archive\images\102.jpg,462,606,70,5cent
archive\images\103.jpg,189,585,74,10cent
archive\images\103.jpg,392,663,81,20cent
archive\images\103.jpg,534,447,77,5cent
archive\images\104.jpg,367,501,90,2euro
archive\images\105.jpg,388,590,73,2cent
archive\images\106.jpg,302,375,101,1euro
archive\images\106.jpg,460,514,92,5cent
archive\images\106.jpg,255,613,112,2euro
archive\images\107.jpg,418,541,73,2cent
archive\images\108.jpg,360,471,72,50cent
archive\images\109.jpg,339,325,94,20cent
archive\images\109.jpg,486,538,81,2cent
archive\images\110.jpg,235,541,69,1cent
archive\images\110.jpg,444,552,79,2cent
archive\images\111.jpg,493,393,82,2cent
archive\images\111.jpg,411,748,82,1cent
archive\images\111.jpg,216,464,93,5cent
archive\images\112.jpg,205,491,85,5cent
archive\images\112.jpg,491,453,73,10cent
archive\images\112.jpg,386,735,70,1cent
archive\images\113.jpg,336,502,85,2euro
archive\images\114.jpg,417,507,66,10cent
archive\images\115.jpg,545,330,60,1euro
archive\images\115.jpg,183,580,63,50cent
archive\images\115.jpg,310,594,57,20cent
archive\images\115.jpg,237,710,70,2euro
archive\images\116.jpg,342,525,86,1euro
archive\images\117.jpg,373,646,80,2cent
archive\images\118.jpg,246,626,58,1cent
archive\images\118.jpg,251,496,64,2cent
archive\images\118.jpg,251,363,68,5cent
archive\images\118.jpg,269,236,63,10cent
archive\images\118.jpg,433,643,81,20cent
archive\images\118.jpg,440,478,84,50cent
archive\images\118.jpg,432,319,76,1euro
archive\images\118.jpg,432,168,79,2euro
archive\images\119.jpg,402,555,52,1cent
archive\images\120.jpg,241,438,89,5cent
archive\images\120.jpg,483,559,102,1euro
archive\images\121.jpg,455,292,66,1cent
archive\images\121.jpg,564,492,80,2cent
archive\images\121.jpg,271,469,99,1euro
archive\images\121.jpg,370,691,97,5cent
archive\images\122.jpg,339,346,66,1cent
archive\images\122.jpg,192,567,89,2cent
archive\images\122.jpg,430,523,95,5cent
archive\images\123.jpg,382,570,54,1cent
archive\images\124.jpg,412,375,71,10cent
archive\images\124.jpg,267,674,70,1cent
archive\images\124.jpg,455,678,83,2cent
archive\images\125.jpg,245,398,81,1euro
archive\images\125.jpg,378,585,77,20cent
archive\images\126.jpg,283,669,64,1cent
archive\images\126.jpg,268,459,72,2cent
archive\images\126.jpg,463,546,78,10cent
archive\images\127.jpg,417,408,62,1cent
archive\images\127.jpg,301,595,81,2cent
archive\images\128.jpg,457,403,82,1euro
archive\images\128.jpg,468,624,82,5cent
archive\images\128.jpg,265,542,82,20cent
archive\images\129.jpg,442,522,68,2cent
archive\images\130.jpg,291,516,73,1euro
archive\images\130.jpg,438,490,70,20cent
archive\images\131.jpg,383,545,73,10cent
archive\images\132.jpg,276,423,112,50cent
archive\images\132.jpg,457,413,97,20cent
archive\images\132.jpg,522,572,103,20cent
archive\images\132.jpg,381,667,102,20cent
archive\images\133.jpg,247,450,61,1cent
archive\images\133.jpg,502,415,72,2cent
archive\images\133.jpg,473,625,88,1euro
archive\images\134.jpg,264,436,97,2euro
archive\images\134.jpg,378,657,86,1euro
archive\images\135.jpg,396,591,91,10cent
archive\images\136.jpg,372,496,84,2euro
archive\images\136.jpg,353,686,81,10cent
archive\images\137.jpg,439,475,79,10cent
archive\images\137.jpg,222,498,76,2cent
archive\images\137.jpg,322,652,71,1cent
archive\images\138.jpg,356,411,110,20cent
archive\images\138.jpg,450,612,110,20cent
archive\images\138.jpg,232,637,109,20cent
archive\images\139.jpg,506,571,74,2cent
archive\images\139.jpg,370,412,79,5cent
archive\images\140.jpg,225,570,80,2cent
archive\images\140.jpg,439,536,83,10cent
archive\images\141.jpg,361,452,74,1euro
archive\images\142.jpg,367,482,69,20cent
archive\images\143.jpg,345,549,69,2cent
archive\images\143.jpg,544,485,89,1euro
archive\images\144.jpg,387,466,78,50cent
archive\images\145.jpg,375,522,72,5cent
archive\images\146.jpg,127,682,63,1cent
archive\images\146.jpg,198,466,71,2cent
archive\images\146.jpg,357,679,83,5cent
